"id","nama","deskripsi","kategori","lokasi","harga_tiket","rating","durasi","latlng","lat","lng","gambar_url","created_by","updated_by"
"501","Pulau Derawan","Pulau Derawan adalah sebuah pulau terkenal di Kalimantan Timur yang dikenal dengan keindahan alam bawah lautnya. Pulau ini memiliki pantai berpasir putih dan menjadi habitat penyu hijau yang dilindungi. Para pengunjung dapat menikmati keindahan terumbu karang, berenang bersama hiu paus, dan menyelam di spot-spot menyelam yang indah.","Bahari","Berau","50000","48","240","{'lat': 2.284, 'lng': 118.237}","2.284","118.237","","1","1"
"502","Labuan Cermin","Danau Labuan Cermin adalah fenomena alam unik yang memadukan air tawar dan air asin dalam satu danau. Airnya sangat jernih sehingga dasar danau terlihat dengan jelas. Pengunjung dapat berenang dan menyelam sambil menikmati pemandangan yang menakjubkan.","Alam","Berau","25000","47","180","{'lat': 1.976, 'lng': 117.535}","1.976","117.535","","1","1"
"503","Goa Maria Lourdes","Goa Maria Lourdes di Balikpapan merupakan tempat ziarah umat Katolik yang ramai dikunjungi, terutama pada perayaan tertentu. Tempat ini memiliki replika goa Lourdes dari Prancis dan suasana yang tenang dan damai.","Tempat Ibadah","Balikpapan","0","46","60","{'lat': -1.235, 'lng': 116.835}","-1.235","116.835","","1","1"
"504","Taman Bekapai","Taman Bekapai merupakan taman kota yang terletak di tengah kota Balikpapan. Taman ini dilengkapi dengan air mancur menari yang menjadi daya tarik utama, terutama pada malam hari.","Taman Hiburan","Balikpapan","0","44","45","{'lat': -1.268, 'lng': 116.828}","-1.268","116.828","","1","1"
"505","Pantai Kemala","Pantai Kemala adalah salah satu pantai populer di Balikpapan dengan pemandangan sunset yang indah. Pantai ini memiliki fasilitas yang cukup lengkap dan sering menjadi tempat rekreasi keluarga.","Bahari","Balikpapan","10000","43","120","{'lat': -1.295, 'lng': 116.802}","-1.295","116.802","","1","1"
"506","Kebun Raya Balikpapan","Kebun Raya Balikpapan adalah kawasan konservasi tumbuhan dengan luas sekitar 300 hektar. Tempat ini ideal untuk kegiatan edukasi, penelitian, dan rekreasi alam.","Cagar Alam","Balikpapan","15000","45","150","{'lat': -1.185, 'lng': 116.912}","-1.185","116.912","","1","1"
"507","Monumen Perjuangan 1945","Monumen ini didirikan untuk mengenang perjuangan rakyat Kalimantan Timur dalam mempertahankan kemerdekaan Indonesia. Terletak di jantung kota Samarinda.","Budaya","Samarinda","0","45","30","{'lat': -0.502, 'lng': 117.153}","-0.502","117.153","","1","1"
"508","Pulau Kumala","Pulau Kumala adalah destinasi wisata di tengah Sungai Mahakam yang dapat dicapai dengan cable car atau perahu. Terdapat berbagai wahana rekreasi dan taman yang asri.","Taman Hiburan","Tenggarong","35000","42","180","{'lat': -0.425, 'lng': 117.002}","-0.425","117.002","","1","1"
"509","Museum Mulawarman","Museum Mulawarman adalah bekas istana Kesultanan Kutai Kartanegara yang menyimpan berbagai koleksi sejarah dan budaya Kerajaan Kutai.","Budaya","Tenggarong","10000","46","90","{'lat': -0.431, 'lng': 116.987}","-0.431","116.987","","1","1"
"510","Tepian Mahakam","Tepian Mahakam adalah kawasan waterfront di sepanjang Sungai Mahakam yang menjadi tempat rekreasi dan kuliner favorit warga Samarinda.","Taman Hiburan","Samarinda","0","44","90","{'lat': -0.502, 'lng': 117.148}","-0.502","117.148","","1","1"
